"id","name","microbe_id","species","kingdom","phylum","ncbi_tax_id","activity","gram","oxygen_requirement","created_at","updated_at","klass","order","family","genus","strain","metabolism","shape","mobility","flagella_presence","number_of_membranes","optimal_temperature","temperature_range","habitat","biotic_relationship","cell_arrangement","sporulation","energy_source","superkingdom","background","health_type","evidence_type","data_source","export","human_pathogen","genome_ids","parent_id","level"
25,"Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12","MMDBm0000025","Bacillus amyloliquefaciens",NULL,"Firmicutes",1198291,NULL,"Positive","Aerobe","2020-09-26 05:00:38.921290","2022-08-17 23:00:37.643295","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,133,NULL,NULL
26,"Bacillus cereus AH187 (F4810/72)","MMDBm0000026","Bacillus cereus",NULL,"Firmicutes",405534,NULL,"Positive","Aerobe","2020-09-26 05:00:38.928694","2022-08-29 16:04:59.464368","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus AH187 (F4810/72)","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli","Yes","Yes",1,NULL,"Mesophilic","Multiple","Free living",NULL,"Sporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1531,NULL,NULL
28,"Bacillus halodurans C-125","MMDBm0000028","Bacillus halodurans",NULL,"Firmicutes",272558,"Production (export)","Positive","Facultative aerobe","2020-09-26 05:00:38.943633","2022-08-25 23:58:10.547665","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus halodurans C-125","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli","Yes","Yes",1,NULL,"Mesophilic","Multiple","Free living",NULL,"Sporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1348,NULL,NULL
30,"Bacillus pseudofirmus  OF4","MMDBm0000030","Alkalihalobacillus pseudofirmus",NULL,"Firmicutes",398511,"Production (export)","Positive","Facultative aerobe","2020-09-26 05:00:38.959743","2022-08-25 23:58:10.556273","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pseudofirmus  OF4","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli","Yes","Yes",1,NULL,"Mesophilic","Terrestrial","Free living",NULL,"Sporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1375,NULL,NULL
31,"Bacillus subtilis","MMDBm0000031","Bacillus subtilis",NULL,"Firmicutes",1423,NULL,NULL,"Facultative aerobe","2020-09-26 05:00:38.967393","2022-08-29 16:04:59.477743","Bacilli","Bacillales","Bacillaceae","Bacillus",NULL,NULL,"Bacilli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,"1771; 1772",NULL,NULL
32,"Bacillus timonensis 10403023","MMDBm0000032","Bacillus timonensis",NULL,"Firmicutes",1033734,NULL,"Positive","Facultative anaerobe","2020-09-26 05:00:38.975425","2022-08-29 16:04:59.487959","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus timonensis 10403023","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1840,NULL,NULL
33,"Bacillus vallismortis DV1-F-3","MMDBm0000033","Bacillus vallismortis",NULL,"Firmicutes",1051502,NULL,"Positive","Aerobe","2020-09-26 05:00:38.983895","2022-08-29 23:51:39.763133","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus vallismortis DV1-F-3","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,2126,NULL,NULL
36,"Bacteroides caccae","MMDBm0000036","Bacteroides caccae",NULL,"Bacteroidetes",47678,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.008917","2022-08-25 23:58:10.566766","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1099,NULL,NULL
38,"Bacteroides cellulosilyticus","MMDBm0000038","Bacteroides cellulosilyticus",NULL,"Bacteroidetes",246787,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.030080","2022-08-25 23:58:10.575889","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1345,NULL,NULL
39,"Bacteroides clarus YIT 12056","MMDBm0000039","Bacteroides clarus",NULL,"Bacteroidetes",762984,"Production (export)","Negative","Anaerobe","2020-09-26 05:00:39.037078","2022-08-29 16:04:59.501301","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides clarus YIT 12056","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1709,NULL,NULL
40,"Bacteroides dorei","MMDBm0000040","Phocaeicola dorei",NULL,"Bacteroidetes",357276,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.044739","2022-08-25 23:58:10.586046","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NULL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1368,NULL,NULL
42,"Bacteroides eggerthii","MMDBm0000042","Bacteroides eggerthii",NULL,"Bacteroidetes",28111,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.058867","2022-08-25 23:58:10.594132","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,963,NULL,NULL
43,"Bacteroides fragilis","MMDBm0000043","Bacteroides fragilis",NULL,"Bacteroidetes",817,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.065779","2022-08-25 23:58:10.615148","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,1,1270,NULL,NULL
44,"Bacteroides fragilis 3_1_12","MMDBm0000044","Bacteroides fragilis",NULL,"Bacteroidetes",457424,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.072673","2022-08-29 16:04:59.518374","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis 3_1_12","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1563,NULL,NULL
45,"Bacteroides fragilis 638R","MMDBm0000045","Bacteroides fragilis",NULL,"Bacteroidetes",862962,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.079847","2022-08-29 16:04:59.529943","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis 638R","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1714,NULL,NULL
46,"Bacteroides fragilis NCTC 9343","MMDBm0000046","Bacteroides fragilis",NULL,"Bacteroidetes",272559,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.086983","2022-08-29 16:04:59.537842","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis NCTC 9343",NULL,"Bacilli","No","No",2,37,"Mesophilic","HostAssociated","Free living","Singles",NULL,"Chemoorganotroph","Bacteria",NULL,NULL,NULL,NULL,1,NULL,1498,NULL,NULL
47,"Bacteroides fragilis YCH46","MMDBm0000047","Bacteroides fragilis",NULL,"Bacteroidetes",295405,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.093853","2022-08-29 16:04:59.544537","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis YCH46",NULL,"Bacilli","No","No",2,37,"Mesophilic","HostAssociated","Free living","Singles",NULL,"Chemoorganotroph","Bacteria",NULL,NULL,NULL,NULL,1,NULL,1507,NULL,NULL
49,"Bacteroides ovatus","MMDBm0000049","Bacteroides ovatus",NULL,"Bacteroidetes",28116,"Production (export)",NULL,"Anaerobe","2020-09-26 05:00:39.107811","2022-08-25 23:58:10.624334","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,964,NULL,NULL
52,"Bacteroides stercoris","MMDBm0000052","Bacteroides stercoris",NULL,"Bacteroidetes",46506,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.128126","2022-08-25 23:58:10.634337","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1094,NULL,NULL
53,"Bacteroides stercoris ATCC 43183","MMDBm0000053","Bacteroides stercoris",NULL,"Bacteroidetes",449673,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.134874","2022-08-25 23:58:10.644000","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris ATCC 43183","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1401,NULL,NULL
54,"Bacteroides thetaiotaomicron","MMDBm0000054","Bacteroides thetaiotaomicron",NULL,"Bacteroidetes",818,"Production (export)",NULL,"Anaerobe","2020-09-26 05:00:39.141690","2022-08-25 23:58:10.653744","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1271,NULL,NULL
55,"Bacteroides thetaiotaomicron VPI-5482","MMDBm0000055","thetaiotaomicron",NULL,"Bacteroidetes",226186,NULL,"Negative","Anaerobe","2020-09-26 05:00:39.148963","2022-08-17 23:00:37.704599","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron VPI-5482","Saccharolytic, fermentative","Bacilli","No","No",2,NULL,"Mesophilic","HostAssociated","Free living",NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,192,NULL,NULL
56,"Bacteroides vulgatus","MMDBm0000056","Bacteroides vulgatus",NULL,"Bacteroidetes",821,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.155877","2022-08-25 23:58:10.667856","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1272,NULL,NULL
57,"Bacteroides vulgatus ATCC 8482","MMDBm0000057","Bacteroides vulgatus",NULL,"Bacteroidetes",435590,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.162698","2022-08-29 16:04:59.572931","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Bacteroides vulgatus ATCC 8482",NULL,"Bacilli","No","No",2,NULL,"Mesophilic","HostAssociated","Free living","Singles",NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1553,NULL,NULL
58,"Bacteroides xylanisolvens XB1A","MMDBm0000058","Bacteroides xylanisolvens",NULL,"Bacteroidetes",657309,"Production (export)","Negative","Anaerobe","2020-09-26 05:00:39.169554","2022-08-29 16:04:59.579893","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens XB1A","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1670,NULL,NULL
61,"Bifidobacterium Bifidum","MMDBm0000061","Bifidobacterium bifidum ",NULL,"Actinobacteria",1681,NULL,NULL,NULL,"2020-09-26 05:00:39.190473","2022-08-29 23:51:39.797985","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,2182,NULL,NULL
62,"Bifidobacterium adolescentis","MMDBm0000062","Bifidobacterium adolescentis",NULL,"Actinobacteria",1680,NULL,NULL,"Anaerobe","2020-09-26 05:00:39.197528","2022-08-25 23:58:10.677365","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,898,NULL,NULL
64,"Bifidobacterium adolescentis ATCC 15703","MMDBm0000064","Bifidobacterium adolescentis",NULL,"Actinobacteria",367928,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.212232","2022-08-29 16:04:59.587914","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis ATCC 15703",NULL,"Bacilli","No","No",1,37,"Mesophilic","HostAssociated","Free living","Singles","Singles",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1524,NULL,NULL
65,"Bifidobacterium animalis subsp. lactis","MMDBm0000065","Bifidobacterium animalis",NULL,"Actinobacteria",302911,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.219618","2022-08-29 16:04:59.595259","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis subsp. lactis","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1953,NULL,NULL
66,"Bifidobacterium bifidum BGN4","MMDBm0000066","Bifidobacterium bifidum",NULL,"Actinobacteria",484020,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.227825","2022-08-29 16:04:59.600872","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum BGN4","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1582,NULL,NULL
67,"Bifidobacterium bifidum PRL2010","MMDBm0000067","Bifidobacterium bifidum",NULL,"Actinobacteria",702459,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.234863","2022-08-29 16:04:59.609843","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum PRL2010",NULL,"Bacilli","No","No",1,NULL,"Mesophilic","HostAssociated","Free living",NULL,"Nonsporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1687,NULL,NULL
68,"Bifidobacterium bifidum S17","MMDBm0000068","Bifidobacterium bifidum",NULL,"Actinobacteria",883062,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.242592","2022-08-29 16:04:59.615955","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum S17",NULL,"Bacilli","No","No",1,NULL,"Mesophilic","HostAssociated","Free living",NULL,"Nonsporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1718,NULL,NULL
72,"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854","MMDBm0000072","Bifidobacterium catenulatum",NULL,"Actinobacteria",1150460,NULL,"Positive","Anaerobe","2020-09-26 05:00:39.277629","2022-08-17 23:00:37.744338","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium kashiwanohense JCM 15439 = DSM 21854","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,124,NULL,NULL
74,"Bifidobacterium longum","MMDBm0000074","Bifidobacterium longum",NULL,"Actinobacteria",216816,"Production (export)",NULL,NULL,"2020-09-26 05:00:39.295847","2022-08-29 16:04:59.623286","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1911,NULL,NULL
