,xrefs_inchikey,associated_pathways_kegg_map_id,associated_pathways_name,associated_pathways_type,associated_pathways_smpdb_id
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,3-methylthiofentanyl action pathway,biolink:Pathway,SMP00679
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,alfentanil action pathway,biolink:Pathway,SMP00413
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,alvimopan action pathway,biolink:Pathway,SMP00685
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,anileridine action pathway,biolink:Pathway,SMP00674
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,aromatic l-aminoacid decarboxylase deficiency,biolink:Pathway,SMP00170
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,benzocaine action pathway,biolink:Pathway,SMP00392
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,bupivacaine action pathway,biolink:Pathway,SMP00393
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,buprenorphine action pathway,biolink:Pathway,SMP00684
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,carfentanil action pathway,biolink:Pathway,SMP00414
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,chloroprocaine action pathway,biolink:Pathway,SMP00394
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,citalopram action pathway,biolink:Pathway,SMP00424
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,cocaine action pathway,biolink:Pathway,SMP00395
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,codeine action pathway,biolink:Pathway,SMP00405
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,desipramine action pathway,biolink:Pathway,SMP00423
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dezocine action pathway,biolink:Pathway,SMP00676
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dibucaine action pathway,biolink:Pathway,SMP00396
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dihydromorphine action pathway,biolink:Pathway,SMP00689
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dimethylthiambutene action pathway,biolink:Pathway,SMP00680
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,diphenoxylate action pathway,biolink:Pathway,SMP00675
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dopamine activation of neurological reward system,biolink:Pathway,SMP00308
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,escitalopram action pathway,biolink:Pathway,SMP00425
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,ethylmorphine action pathway,biolink:Pathway,SMP00681
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,fentanyl action pathway,biolink:Pathway,SMP00415
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,fluoxetine action pathway,biolink:Pathway,SMP00426
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,heroin action pathway,biolink:Pathway,SMP00407
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,hydrocodone action pathway,biolink:Pathway,SMP00411
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,hydromorphone action pathway,biolink:Pathway,SMP00410
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,imipramine action pathway,biolink:Pathway,SMP00422
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,ketobemidone  action pathway,biolink:Pathway,SMP00690
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,levallorphan action pathway,biolink:Pathway,SMP00683
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,levobupivacaine action pathway,biolink:Pathway,SMP00397
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,levomethadyl acetate action action pathway,biolink:Pathway,SMP00677
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,levorphanol action pathway,biolink:Pathway,SMP00673
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,lidocaine (local anaesthetic) action pathway,biolink:Pathway,SMP00398
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,mepivacaine action pathway,biolink:Pathway,SMP00399
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,methadone action pathway,biolink:Pathway,SMP00408
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,methadyl acetate action pathway,biolink:Pathway,SMP00678
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,morphine action pathway,biolink:Pathway,SMP00406
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,nalbuphine action pathway,biolink:Pathway,SMP00691
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,naloxone action pathway,biolink:Pathway,SMP00688
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,naltrexone action pathway,biolink:Pathway,SMP00687
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,nicotine action pathway,biolink:Pathway,SMP00431
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,oxybuprocaine action pathway,biolink:Pathway,SMP00400
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,oxycodone action pathway,biolink:Pathway,SMP00409
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,oxymorphone action pathway,biolink:Pathway,SMP00412
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,pentazocine action pathway,biolink:Pathway,SMP00686
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,prilocaine action pathway,biolink:Pathway,SMP00401
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,procaine action pathway,biolink:Pathway,SMP00402
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,proparacaine action pathway,biolink:Pathway,SMP00403
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,propoxyphene action pathway,biolink:Pathway,SMP00672
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,remifentanil action pathway,biolink:Pathway,SMP00416
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,ropivacaine action pathway,biolink:Pathway,SMP00404
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,sufentanil action pathway,biolink:Pathway,SMP00417
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,tramadol action action pathway,biolink:Pathway,SMP00671
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,tyrosine hydroxylase deficiency,biolink:Pathway,SMP00497
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
8,ROSDSFDQCJNGOL-UHFFFAOYSA-N,,citalopram action pathway,biolink:Pathway,SMP00424
8,ROSDSFDQCJNGOL-UHFFFAOYSA-N,,citalopram metabolism pathway,biolink:Pathway,SMP00627
9,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
9,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,ethanol degradation,biolink:Pathway,SMP00449
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,,2-hydroxyglutric aciduria (d and l form),biolink:Pathway,SMP00136
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,,4-hydroxybutyric aciduria/succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00243
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,map00250,glutamate metabolism,biolink:Pathway,SMP00072
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,,homocarnosinosis,biolink:Pathway,SMP00385
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,,hyperinsulinism-hyperammonemia syndrome,biolink:Pathway,SMP00339
10,BTCSSZJGUNDROE-UHFFFAOYSA-N,,succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00567
11,AEMRFAOFKBGASW-UHFFFAOYSA-N,,,,
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
12,QRMZSPFSDQBLIX-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
13,OVBPIULPVIDEAO-LBPRGKRZSA-N,,"folate malabsorption, hereditary",biolink:Pathway,SMP00724
13,OVBPIULPVIDEAO-LBPRGKRZSA-N,,methotrexate action pathway,biolink:Pathway,SMP00432
13,OVBPIULPVIDEAO-LBPRGKRZSA-N,,methylenetetrahydrofolate reductase deficiency (mthfrd),biolink:Pathway,SMP00543
13,OVBPIULPVIDEAO-LBPRGKRZSA-N,map00670,one carbon pool by folate,biolink:Pathway,
13,OVBPIULPVIDEAO-LBPRGKRZSA-N,map00790,pterine biosynthesis,biolink:Pathway,SMP00005
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,27-hydroxylase deficiency,biolink:Pathway,SMP00720
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,cerebrotendinous xanthomatosis (ctx),biolink:Pathway,SMP00315
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,congenital bile acid synthesis defect type ii,biolink:Pathway,SMP00314
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,congenital bile acid synthesis defect type iii,biolink:Pathway,SMP00318
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,familial hypercholanemia (fhca),biolink:Pathway,SMP00317
14,RFDAIACWWDREDC-FRVQLJSFSA-N,map00120,primary bile acid biosynthesis,biolink:Pathway,
14,RFDAIACWWDREDC-FRVQLJSFSA-N,,zellweger syndrome,biolink:Pathway,SMP00316
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,17-beta hydroxysteroid dehydrogenase iii deficiency,biolink:Pathway,SMP00356
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,alendronate action pathway,biolink:Pathway,SMP00095
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,map00150,androgen and estrogen metabolism,biolink:Pathway,SMP00068
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,androstenedione metabolism,biolink:Pathway,SMP30406
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,aromatase deficiency,biolink:Pathway,SMP00565
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,atorvastatin action pathway,biolink:Pathway,SMP00131
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,cerivastatin action pathway,biolink:Pathway,SMP00111
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,child syndrome,biolink:Pathway,SMP00387
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,cholesteryl ester storage disease,biolink:Pathway,SMP00508
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,"chondrodysplasia punctata ii, x linked dominant (cdpx2)",biolink:Pathway,SMP00388
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,desmosterolosis,biolink:Pathway,SMP00386
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,dopa-responsive dystonia,biolink:Pathway,SMP00486
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,fluvastatin action pathway,biolink:Pathway,SMP00119
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,"folate malabsorption, hereditary",biolink:Pathway,SMP00724
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,hyper-igd syndrome,biolink:Pathway,SMP00509
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,hypercholesterolemia,biolink:Pathway,SMP00209
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,biolink:Pathway,SMP00487
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),biolink:Pathway,SMP00488
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,hyperphenylalaninemia due to dhpr-deficiency,biolink:Pathway,SMP00489
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,ibandronate action pathway,biolink:Pathway,SMP00079
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,lovastatin action pathway,biolink:Pathway,SMP00099
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,lysosomal acid lipase deficiency (wolman disease),biolink:Pathway,SMP00319
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,methotrexate action pathway,biolink:Pathway,SMP00432
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,methylenetetrahydrofolate reductase deficiency (mthfrd),biolink:Pathway,SMP00543
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,mevalonic aciduria,biolink:Pathway,SMP00510
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,map00670,one carbon pool by folate,biolink:Pathway,
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,pamidronate action pathway,biolink:Pathway,SMP00117
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,pravastatin action pathway,biolink:Pathway,SMP00089
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,map00790,pterine biosynthesis,biolink:Pathway,SMP00005
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,risedronate action pathway,biolink:Pathway,SMP00112
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,rosuvastatin action pathway,biolink:Pathway,SMP00092
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,segawa syndrome,biolink:Pathway,SMP00490
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,sepiapterin reductase deficiency,biolink:Pathway,SMP00491
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,simvastatin action pathway,biolink:Pathway,SMP00082
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,smith-lemli-opitz syndrome (slos),biolink:Pathway,SMP00389
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,map00100,steroid biosynthesis,biolink:Pathway,SMP00023
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,map00380,tryptophan metabolism,biolink:Pathway,
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,wolman disease,biolink:Pathway,SMP00511
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,,zoledronate action pathway,biolink:Pathway,SMP00107
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,"fructose-1,6-diphosphatase deficiency",biolink:Pathway,SMP00562
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,glutaminolysis and cancer,biolink:Pathway,SMP02298
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,glycogen storage disease type 1a (gsd1a) or von gierke disease,biolink:Pathway,SMP00374
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,"glycogenosis, type ia. von gierke disease",biolink:Pathway,SMP00581
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,"glycogenosis, type ib",biolink:Pathway,SMP00573
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,"glycogenosis, type ic",biolink:Pathway,SMP00574
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,map00010,glycolysis / gluconeogenesis,biolink:Pathway,
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,leigh syndrome,biolink:Pathway,SMP00196
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,phosphoenolpyruvate carboxykinase deficiency 1 (pepck1),biolink:Pathway,SMP00560
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,"primary hyperoxaluria ii, ph2",biolink:Pathway,SMP00558
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,pyruvate decarboxylase e1 component deficiency (pdhe1 deficiency),biolink:Pathway,SMP00334
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,pyruvate dehydrogenase complex deficiency,biolink:Pathway,SMP00212
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,pyruvate kinase deficiency,biolink:Pathway,SMP00559
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,map00620,pyruvate metabolism,biolink:Pathway,
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,triosephosphate isomerase,biolink:Pathway,SMP00563
16,JVTAAEKCZFNVCJ-REOHCLBHSA-N,,warburg effect,biolink:Pathway,SMP00654
17,SEOVTRFCIGRIMH-UHFFFAOYSA-N,map00380,tryptophan metabolism,biolink:Pathway,
18,BTNMPGBKDVTSJY-UHFFFAOYSA-N,map00360,phenylalanine and tyrosine metabolism,biolink:Pathway,SMP00008
18,BTNMPGBKDVTSJY-UHFFFAOYSA-N,,phenylketonuria,biolink:Pathway,SMP00206
18,BTNMPGBKDVTSJY-UHFFFAOYSA-N,,tyrosinemia type 2 (or richner-hanhart syndrome),biolink:Pathway,SMP00369
18,BTNMPGBKDVTSJY-UHFFFAOYSA-N,,tyrosinemia type 3 (tyro3),biolink:Pathway,SMP00370
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,2-aminoadipic 2-oxoadipic aciduria,biolink:Pathway,SMP00719
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,2-hydroxyglutric aciduria (d and l form),biolink:Pathway,SMP00136
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,2-ketoglutarate dehydrogenase complex deficiency,biolink:Pathway,SMP00549
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,2-methyl-3-hydroxybutryl coa dehydrogenase deficiency,biolink:Pathway,SMP00137
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-hydroxy-3-methylglutaryl-coa lyase deficiency,biolink:Pathway,SMP00138
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-hydroxyisobutyric acid dehydrogenase deficiency,biolink:Pathway,SMP00521
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-hydroxyisobutyric aciduria,biolink:Pathway,SMP00522
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-methylcrotonyl coa carboxylase deficiency type i,biolink:Pathway,SMP00237
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-methylglutaconic aciduria type i,biolink:Pathway,SMP00139
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-methylglutaconic aciduria type iii,biolink:Pathway,SMP00140
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-methylglutaconic aciduria type iv,biolink:Pathway,SMP00141
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,3-phosphoglycerate dehydrogenase deficiency,biolink:Pathway,SMP00721
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,4-hydroxybutyric aciduria/succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00243
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00250,"alanine, aspartate and glutamate metabolism",biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00330,arginine and proline metabolism,biolink:Pathway,
