,_id,name,chemical_formula,description,status,average_mw,monoisotopic_mw,state,sources,inchikey
24,HMDB0000254,succinic acid,C4H6O4,"Succinic acid (succinate) is a dicarboxylic acid. It is an important component of the citric acid or TCA cycle and is capable of donating electrons to the electron transfer chain. Succinate is found in all living organisms ranging from bacteria to plants to mammals. In eukaryotes, succinate is generated in the mitochondria via the tricarboxylic acid cycle (TCA). Succinate can readily be imported into the mitochondrial matrix by the n-butylmalonate- (or phenylsuccinate-) sensitive dicarboxylate carrier in exchange with inorganic phosphate or another organic acid, e. g. malate (PMID 16143825). Succinate can exit the mitochondrial matrix and function in the cytoplasm as well as the extracellular space. Succinate has multiple biological roles including roles as a metabolic intermediate and roles as a cell signalling molecule. Succinate can alter gene expression patterns, thereby modulating the epigenetic landscape or it can exhibit hormone-like signaling functions (PMID: 26971832). As such, succinate links cellular metabolism, especially ATP formation, to the regulation of cellular function. Succinate can be broken down or metabolized into fumarate by the enzyme succinate dehydrogenase (SDH), which is part of the electron transport chain involved in making ATP. Dysregulation of succinate synthesis, and therefore ATP synthesis, can happen in a number of genetic mitochondrial diseases, such as Leigh syndrome, and Melas syndrome. Succinate has been found to be associated with D-2-hydroxyglutaric aciduria, which is an inborn error of metabolism. Succinic acid has recently been identified as an oncometabolite or an endogenous, cancer causing metabolite. High levels of this organic acid can be found in tumors or biofluids surrounding tumors. Its oncogenic action appears to due to its ability to inhibit prolyl hydroxylase-containing enzymes. In many tumours, oxygen availability becomes limited (hypoxia) very quickly due to rapid cell proliferation and limited blood vessel growth. The major regulator of the response to hypoxia is the HIF transcription factor (HIF-alpha). Under normal oxygen levels, protein levels of HIF-alpha are very low due to constant degradation, mediated by a series of post-translational modification events catalyzed by the prolyl hydroxylase domain-containing enzymes PHD1, 2 and 3, (also known as EglN2, 1 and 3) that hydroxylate HIF-alpha and lead to its degradation. All three of the PHD enzymes are inhibited by succinate. In humans, urinary succinic acid is produced by Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumonia, Enterobacter, Acinetobacter, Proteus mirabilis, Citrobacter frundii, Enterococcus faecalis (PMID: 22292465). Succinic acid is also found in Actinobacillus, Anaerobiospirillum, Mannheimia, Corynebacterium and Basfia (PMID: 22292465; PMID: 18191255; PMID: 26360870).",quantified,118.088,118.02660868,solid,"['blood', 'breast milk', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'sweat', 'urine']",KDYFGRWQOYBRFD-UHFFFAOYSA-N
25,HMDB0000259,serotonin,C10H12N2O,"Serotonin or 5-hydroxytryptamine (5-HT) is a molecule that belongs to the class of compounds known as indoleamines. An indoleamine consists of an indole ring that bears an amino group or an alkyl amino group attached to the indole ring. Serotonin has an aminoethyl at position 2 and a hydroxyl group at position 5 of the indole ring. Serotonin exists in all living organisms, ranging from bacteria to plants to humans. In mammals, serotonin functions as a monoamine neurotransmitter, a biochemical messenger and regulator. It is synthesized from the essential amino acid L-Tryptophan. Approximately 90% of the human body's total serotonin is located in the enterochromaffin cells in the GI tract, where it regulates intestinal movements. About 8% is found in platelets and 1–2% in the CNS. Serotonin in the nervous system acts as a local transmitter at synapses, and as a paracrine or hormonal modulator of circuits upon diffusion, allowing a wide variety of ""state-dependent"" behavioral responses to different stimuli. Serotonin is widely distributed in the nervous system of vertebrates and invertebrates and some of its behavioral effects have been preserved along evolution. Such is the case of aggressive behavior and rhythmic motor patterns, including those responsible for feeding.  In vertebrates, which display a wider and much more sophisticated behavioral repertoire, serotonin also modulates sleep, the arousal state, sexual behavior, and others. Deficiencies of the serotonergic system causes disorders such as depression, obsessive-compulsive disorder, phobias, posttraumatic stress disorder, epilepsy, and generalized anxiety disorder. Serotonin has three different modes of action in the nervous system: as transmitter, acting locally at synaptic boutons; upon diffusion at a distance from its release sites, producing paracrine (also called volume) effects, and by circulating in the blood stream, producing hormonal effects. The three modes can affect a single neuronal circuit. (PMID: 16047543). Serotonin is also a microbial metabolite that can be found in the feces and urine of mammals. Urinary serotonin is produced by Candida, Streptococcus, Escherichia, and Enterococcus (PMID: 24621061). In plants, serotonin was first found and reported in a legume called Mucuna pruriens. The greatest concentration of serotonin in plants has been found in walnuts and hickory. In pineapples, banana, kiwi fruit, plums and tomatoes the concentration of serotonin is around 3 to 30 mg/kg.",quantified,176.2151,176.094963016,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",QZAYGJVTTNCVMB-UHFFFAOYSA-N
26,HMDB0000306,tyramine,C8H11NO,"Tyramine is a monoamine compound derived from the amino acid tyrosine. Tyramine is metabolized by the enzyme monoamine oxidase. In foods, it is often produced by the decarboxylation of tyrosine during fermentation or decay. Foods containing considerable amounts of tyramine include fish, chocolate, alcoholic beverages, cheese, soy sauce, sauerkraut, and processed meat. A large dietary intake of tyramine can cause an increase in systolic blood pressure of 30 mmHg or more. Tyramine acts as a neurotransmitter via a G protein-coupled receptor with high affinity for tyramine called TA1. The TA1 receptor is found in the brain as well as peripheral tissues including the kidney. An indirect sympathomimetic, Tyramine can also serve as a substrate for adrenergic uptake systems and monoamine oxidase so it prolongs the actions of adrenergic transmitters. It also provokes transmitter release from adrenergic terminals. Tyramine is a biomarker for the consumption of cheese",quantified,137.179,137.084063979,solid,"['blood', 'feces', 'saliva', 'urine']",DZGWFCGJZKJUFP-UHFFFAOYSA-N
27,HMDB0000337,"(s)-3,4-dihydroxybutyric acid",C4H8O4,"3,4-Dihydroxybutyric acid (also known as 3,4-Dihydroxybutanoic acid or 3,4-DB, or 2-deoxytetronic acid, or 2-DTA) is a normal human urinary metabolite that is excreted in increased concentration in patients with succinic semialdehyde dehydrogenase (SSADH) deficiency (PMID 12127325), which is a genetic disorder. SSADH deficiency is caused by an enzyme deficiency in GABA degradation. The most constant features with this disease are developmental delay, hypotonia and intellectual disability. Nearly half of SSADH patients exhibit ataxia, behavioral problems, seizures, and hyporeflexia. Normal adults excrete 0.37 +/- 0.15 (SD) mmoles of 3,4-dihydroxybutyrate per 24 hr. 3,4-dihydroxybutyrate is also detectable in blood. The renal clearance of 3,4-dihydroxybutyrate is roughly equal that of creatinine. 3,4-dihydroxybutyric acid has also been found in foods and is believed to be formed via the degradation (cooking) of di- and poly-saccharides (PMID: 1167165).  3,4-Dihydroxybutyric acid is believed to play a role in satiety or the feeling of fullness and suppresses food intake (PMID: 3191387; PMID: 6720928). 3,4-dihydroxybutyric acid is also elevated in the serum of individuals with dementia and may even serve as a predictive biomarker for dementia (PMID: 25177334). 3,4-Dihydroxybutyric acid is also a metabolite produced in Escherichia (PMID: 28342964).",quantified,120.1039,120.042258744,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",DZAIOXUZHHTJKN-UHFFFAOYSA-N
28,HMDB0000375,3-(3-hydroxyphenyl)propanoic acid,C9H10O3,"3-(3-Hydroxyphenyl)propanoic (hMPP) acid is one of the major metabolites of ingested caffeic acid (PMID: 15479001) and of the phenolic degradation products of proanthocyanidins (the most abundant polyphenol present in chocolate) by the microflora in the colon (PMID: 12663291). mHPP is suspected to have antioxidants properties and is actively absorbed by the monocarboxylic acid transporter (MCT) in intestinal Caco-2 cell monolayers (PMID: 15479001, 12663291). hMPP has been found to be a metabolite of Clostridium, Escherichia, and Eubacterium (PMID: 28393285, 19520845). 3-(3-Hydroxyphenyl)propanoic acid is a flavonoid metabolite. 3-(3-Hydroxyphenyl)propanoic acid is a phenolic acid metabolite formed by the gut microflora detected after the consumption of whole grain.",quantified,166.1739,166.062994186,solid,"['blood', 'feces', 'urine']",QVWAEZJXDYOKEH-UHFFFAOYSA-N
29,HMDB0000387,3-hydroxydodecanoic acid,C12H24O3,"3-Hydroxydodecanoic acid (CAS: 1883-13-2) is a medium-chain fatty acid associated with fatty acid metabolic disorders (PMID: 11948802). Deficiency of medium-chain acyl-CoA dehydrogenase is characterized by an intolerance to prolonged fasting, recurrent episodes of hypoglycemic coma with medium-chain dicarboxylic aciduria, impaired ketogenesis, and low plasma and tissue carnitine levels (OMIM: 201450). 3-Hydroxydodecanoic acid is also a microbial metabolite found in Acinetobacter, Moraxella, and Pseudomonas (PMID: 21687748). 3-Hydroxydodecanoic acid has been identified in the human placenta (PMID: 32033212).",quantified,216.321,216.172544633,solid,"['blood', 'feces']",MUCMKTPAZLSKTL-NSHDSACASA-N
30,HMDB0000402,2-isopropylmalic acid,C7H12O5,"2-Isopropylmalic acid (CAS: 3237-44-3), also known as 3-carboxy-3-hydroxyisocaproic acid, belongs to the class of organic compounds known as hydroxy fatty acids. These are fatty acids in which the chain bears a hydroxyl group. 2-Isopropylmalic acid is a very hydrophobic molecule, practically insoluble (in water), and relatively neutral. 2-Isopropylmalic acid is an alpha-hydroxy organic acid regularly occurring in the urine of healthy individuals (PMID: 2338430, 544608), and in hemofiltrates (PMID: 7251751). 2-Isopropylmalic acid is elevated during fasting and diabetic ketoacidosis (PMID: 1591279). It is also a metabolite found in Acetobacter (PMID: 6035258).",quantified,176.1672,176.068473494,solid,"['blood', 'feces', 'saliva', 'urine']",BITYXLXUCSKTJS-ZETCQYMHSA-N
31,HMDB0000423,"3,4-dihydroxyhydrocinnamic acid",C9H10O4,"3,4-Dihydroxyhydrocinnamic acid, also known as dihydrocaffeic acid (DHCA), is a metabolite product of the hydrogenation of caffeoylquinic acids, occurring in normal human biofluids, with potent antioxidant properties. DHCA has been detected in human plasma following coffee ingestion (PMID: 15607645) and is increased with some dietary sources, such as after ingestion of phenolic constituents of artichoke leaf extract (PMID: 15693705). Polyphenol-rich foods such as vegetables and fruits have been shown to significantly improve platelet function in ex vivo studies in humans (PMID: 16038718). Its antioxidant activity has been tested to reduce ferric iron in the ferric reducing antioxidant power (FRAP) assay, and it has been suggested that its catechol structure conveys the antioxidant effect in plasma and in erythrocytes (PMID: 11768243). 3,4-Dihydroxyhydrocinnamic acid is a microbial metabolite found in Bifidobacterium, Escherichia, Lactobacillus, and Clostridium (PMID: 28393285).",quantified,182.1733,182.057908808,solid,"['blood', 'feces', 'urine']",DZAUWHJDUNRCTF-UHFFFAOYSA-N
32,HMDB0000426,citramalic acid,C5H8O5,"Citramalic acid, also known as 2-Methylmalic acid, is an analog of malic acid. The structure of citramalic acid is similar to the structure of malic acid except it has an extra CH3 group on position 2. It is also classified as a 2-hydroxydicarboxylic acid. Citramalic acid exists in two isomers, L-citramalic acid and D-citramalic acid.  The L-isomer is more biologically relevant isomer. Citramalic acid is found in almost all living organisms from microbes to plants to humans although citramalate is primarily produced from bacteria. L-citramalic acid was first isolated from the peel of apples in 1954 (PMID: 13160011). It has also been isolated in wine and other ripening fruit (PMID: 13807713). Citramalic acid can inhibit the production of malic acid. Citramalic acid is also an important microbial metabolite and has been found to be a byproduct of Saccharomyces yeast species, as well as Propionibacterium acnes and Aspergillus niger (PMID: 31827810) (http://drweyrich.weyrich.com/labs/oat.html) (PMID: 7628083). Citramalic acid is a component of the C5-branched dibasic acid metabolism pathway. It can be broken down by the enzyme citramalate lyase, which converts citramalate to acetate and pyruvate. Citramalate synthase is an enzyme found in bacteria that synthesizes citramalic acid from acetyl-CoA, pyruvate and water. Citramalic acid may have a useful role in medical diagnoses. It has been found in the urine of two brothers with autistic features (PMID: 7628083). Citramalic acid can also be used as a urinary marker for gut dysbiosis (PMID: 31669633). Dysbiosis is a disorder of the bacterial flora of the human digestive tract. It is usually diagnosed clinically by direct detection of an abnormal pattern of the intestinal microbiota.",quantified,148.114,148.037173366,solid,"['blood', 'feces', 'saliva', 'urine']",XFTRTWQBIOMVPK-UHFFFAOYSA-N
33,HMDB0000440,3-hydroxyphenylacetic acid,C8H8O3,"3-Hydroxyphenylacetic acid is a rutin metabolite and an antioxidant. It has a protective biological activity in human. It is a substrate of enzyme 4-hydroxyphenylacetate 3-monooxygenase [EC 1.14.13.3] in the pathway tyrosine metabolism (KEGG, PMID 155437). 3-Hydroxyphenylacetic acid is found to be associated with phenylketonuria, which is an inborn error of metabolism. It is also a marker of gut Clostridium species. Higher levels are associated with higher levels of Clostridia (PMID: 27123458). 3-Hydroxyphenylacetic acid can also be found in Klebsiella (PMID: 1851804).",quantified,152.1473,152.047344122,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",FVMDYYGIDFPZAX-UHFFFAOYSA-N
34,HMDB0000448,adipic acid,C6H10O4,"Adipic acid is an important inudstrial dicarboxylic acid with about 2.5 billion kilograms produced per year. It is used mainly in the production of nylon. It occurs relatively rarely in nature. It has a tart taste and is also used as an additive and gelling agent in jello or gelatins. It is also used in some calcium carbonate antacids to make them tart. Adipic acid has also been incorporated into controlled-release formulation matrix tablets to obtain pH-independent release for both weakly basic and weakly acidic drugs. Adipic acid in the urine and in the blood is typically exogenous in origin and is a good biomarker of jello consumption. In fact, a condition known as adipic aciduria is actually an artifact of jello consumption (PMID: 1779643). However, certain disorders (such as diabetes and glutaric aciduria type I.) can lead to elevated levels of adipic acid snd other dicarboxcylic acids (such as suberic acid) in urine (PMID: 17520433; PMID: 6778884). Moreover, adipic acid is also found to be associated with 3-hydroxy-3-methylglutaryl-CoA lyase deficiency, carnitine-acylcarnitine translocase deficiency, malonyl-Coa decarboxylase deficiency, and medium Chain acyl-CoA dehydrogenase deficiency, which are inborn errors of metabolism. Adipic acid is also microbial metabolite found in Escherichia.",quantified,146.1412,146.057908808,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",WNLRTRBMVRJNCN-UHFFFAOYSA-N
35,HMDB0000462,allantoin,C4H6N4O3,"Allantoin is a diureide of glyoxylic acid with the chemical formula C4H6N4O3. It is also called 5-ureidohydantoin or glyoxyldiureide. It is a product of the oxidation of uric acid. It is also a product of purine metabolism in most mammals except for higher apes, and it is present in their urine. In humans, uric acid is excreted instead of allantoin. The presence of allantoin in the urine can be an indication of microbial overgrowth or it can be created via non-enzymatic means through high levels of reactive oxygen species. In this regard, allantoin is sometimes used as a marker of oxidative stress. Allantoin can be isolated from cow urine or as a botanical extract of the comfrey plant. It has long been used for its healing, soothing, and anti-irritating properties. Allantoin helps to heal wounds and skin irritations and stimulates the growth of healthy tissue. Allantoin can be found in anti-acne products, sun care products, and clarifying lotions because of its ability to help heal minor wounds and promote healthy skin. Allantoin is frequently present in toothpaste, mouthwash, and other oral hygiene products as well as in shampoos, lipsticks, various cosmetic lotions and creams, and other cosmetic and pharmaceutical products. It is also a metabolite of Bacillus (PMID: 18302748) and Streptomyces (PMID: 24292080).",quantified,158.1154,158.043990078,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",POJWUDADGALRAB-UHFFFAOYSA-N
36,HMDB0000466,3-methylindole,C9H9N,"3-Methylindole, or skatole, belongs to the indole family and has a methyl substituent in position 3 of the indole ring. It occurs naturally in feces, beets, and coal tar, and has a strong fecal odor. Its name is derived from skato, the Greek word for dung. It exists as a white crystalline or fine powder solid, and it browns upon aging. 3-Methylindole is produced from tryptophan in the mammalian digestive tract where tryptophan is converted to indoleacetic acid, which decarboxylates to give the methylindole. These reactions are largely driven by the microbiota in the digestive tract. 3-Methylindole is soluble in alcohol and benzene and it gives violet color in potassium ferrocyanide (K4Fe(CN)6.3H2O) mixed with sulfuric acid (H2SO4). Skatole has a double ring system which displays aromaticity that comes from the lone pair electrons on the nitrogen. It is continuous (all atoms in the ring are sp2 hybridized), planar, and follows the 4n+2 rule because it has 10 pi electrons. In a 1994 report released by five top cigarette companies, skatole was listed as one of the 599 additives to cigarettes. This is because in low concentrations skatole has a flowery smell and is found in several flowers and essential oils, including those of orange blossoms, jasmine, and Ziziphus mauritiana. As a result, skatole/3-methylindole is used as a fragrance and fixative in many perfumes and as a general aroma compound for other applications. 3-Methylindole has been found to be a bacterial metabolite of members of the Clostridium (PMID: 18223109) and Lactobacillus (PMID: 16345702) families. Skatole functions as an insect attractant and is one of many compounds that are attractive to males of various species of orchid bees, which apparently gather the chemical to synthesize pheromones; it is commonly used as bait for these bees for study (PMID: 12647866). It is also known for being an attractant for the Tasmanian grass grub beetle (Aphodius tasmaniae). Skatole has also been shown to be an attractant to gravid mosquitoes in both field and laboratory conditions (PMID: 24242053).",quantified,131.1745,131.073499293,solid,"['feces', 'saliva']",ZFRKQXVRDFCRJG-UHFFFAOYSA-N
37,HMDB0000484,vanillic acid,C8H8O4,"Vanillic acid is a phenolic acid found in some forms of vanilla and many other plant extracts. It is a flavouring and scent agent that produces a pleasant, creamy odour. It is the intermediate product in the two-step bioconversion of ferulic acid to vanillin (J Biotechnol 1996;50(2-3):107-13). Vanillic acid, which is a chlorogenic acid, is an oxidized form of vanillin. It is also an intermediate in the production of vanillin from ferulic acid. Vanillic acid is a metabolic byproduct of caffeic acid and is often found in the urine of humans who have consumed coffee, chocolate, tea, and vanilla-flavoured confectionary. Vanillic acid selectively and specifically inhibits 5'nucleotidase activity (PMID: 16899266). Vanillic acid is a microbial metabolite found in Amycolatopsis, Delftia, and Pseudomonas (PMID: 11152072, 10543794, 11728709, 9579070).",quantified,168.148,168.042258738,solid,"['blood', 'feces', 'saliva', 'urine']",WKOLLVMJNQIZCI-UHFFFAOYSA-N
38,HMDB0000500,4-hydroxybenzoic acid,C7H6O3,"4-Hydroxybenzoic acid, also known as p-hydroxybenzoate or 4-carboxyphenol, belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. Hydroxybenzoic acid derivatives are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups. 4-Hydroxybenzoic acid is a white crystalline solid that is slightly soluble in water and chloroform but more soluble in polar organic solvents such as alcohols and acetone. It is a nutty and phenolic tasting compound. 4-Hydroxybenzoic acid exists in all living species, ranging from bacteria to plants to humans. 4-Hydroxybenzoic acid can be found naturally in coconut. It is one of the main catechins metabolites found in humans after consumption of green tea infusions. It is also found in wine, in vanilla, in Açaí oil, obtained from the fruit of the açaí palm (Euterpe oleracea), at relatively high concetrations (892±52 mg/kg). It is also found in cloudy olive oil and in the edible mushroom Russula virescens. It has been detected in red huckleberries, rabbiteye blueberries, and corianders and in a lower concentration in olives, red raspberries, and almonds. In humans, 4-hydroxybenzoic acid is involved in ubiquinone biosynthesis. In particular, the enzyme 4-hydroxybenzoate polyprenyltransferase uses a polyprenyl diphosphate and 4-hydroxybenzoate to produce diphosphate and 4-hydroxy-3-polyprenylbenzoate. This enzyme participates in ubiquinone biosynthesis. 4-Hydroxybenzoic acid can be biosynthesized by the enzyme Chorismate lyase. Chorismate lyase is an enzyme that transforms chorismate into 4-hydroxybenzoate and pyruvate. This enzyme catalyses the first step in ubiquinone biosynthesis in Escherichia coli and other Gram-negative bacteria. 4-Hydroxybenzoate is an intermediate in many enzyme-mediated reactions in microbes. For instance, the enzyme 4-hydroxybenzaldehyde dehydrogenase uses 4-hydroxybenzaldehyde, NAD+ and H2O to produce 4-hydroxybenzoate, NADH and H+. This enzyme participates in toluene and xylene degradation in bacteria such as Pseudomonas mendocina. 4-hydroxybenzaldehyde dehydrogenase is also found in carrots. The enzyme 4-hydroxybenzoate 1-hydroxylase transforms 4-hydroxybenzoate, NAD(P)H, 2 H+ and O2 into hydroquinone, NAD(P)+, H2O and CO2. This enzyme participates in 2,4-dichlorobenzoate degradation and is found in Candida parapsilosis. The enzyme 4-hydroxybenzoate 3-monooxygenase transforms 4-hydroxybenzoate, NADPH, H+ and O2 into protocatechuate, NADP+ and H2O. This enzyme participates in benzoate degradation via hydroxylation and 2,4-dichlorobenzoate degradation and is found in Pseudomonas putida and Pseudomonas fluorescens. 4-Hydroxybenzoic acid is a popular antioxidant in part because of its low toxicity. 4-Hydroxybenzoic acid has estrogenic activity both in vitro and in vivo (PMID 9417843).",quantified,138.122,138.031694053,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'sweat', 'urine']",FJKROLUGYXJWQN-UHFFFAOYSA-N
39,HMDB0000577,5beta-coprostanol,C27H48O,"Coprosterol or coprostanol is a cholesterol derivative found in human feces, gallstones, eggs, and other biological matter. Coprosterol is the odorous principle of feces. It is formed from the biohydrogenation of cholesterol (cholest-5en-3&#946;-ol) in the gut of most higher animals and birds. This compound has frequently been used as a biomarker for the presence of human faecal matter in the environment. American physician Austin Flint named it stercorin (Wikipedia). The transformation of cholesterol into coprosterol in its passage through the body involves a reduction of the C5:C6 double bond, and a transition from the allocholanic- to the cholanic-ring system. Although it is established that the bacterial flora of the intestine is concerned in the reduction process, the mechanism by which the stereochemical change is brought about is unknown. Current data suggests that cholestenone and coprostanone, and not cholesterol itself, are the immediate precursors of coprosterol which is formed from them in the intestine by bacterial reduction. Coprosterol is also a microbial metabolite, it can be produced by Lactobacillus (PMID: 20338415).",detected,388.6694,388.370516158,solid,['feces'],QYIXCDOBOSTCEI-NWKZBHTNSA-N
40,HMDB0000621,d-ribulose,C5H10O5,"D-Ribulose (CAS: 488-84-6) is a ketopentose - a monosaccharide containing five carbon atoms, including a ketone functional group. D-Ribulose is an intermediate in the fungal pathway for D-arabitol production. As the 1,5-bisphosphate, it combines with CO2 at the start of the photosynthetic process in green plants (carbon dioxide trap). D-Ribulose is the epimer of D-xylulose (Wikipedia). Ribulose is also a microbial metabolite found in Acetobacter and Gluconobacter (PMID: 16232643, 11272814).",detected,150.13,150.052823422,solid,['feces'],LQXVFWRQNMEDEE-UOWFLXDJSA-N
41,HMDB0000646,l-arabinose,C5H10O5,"L-Arabinose (CAS: 5328-37-0) belongs to the class of compounds known as aldopentoses. An aldopentose is a monosaccharide containing five carbon atoms, including an aldehyde (CHO) functional group. Arabinose gets its name from gum arabic, from which it was first isolate. Most saccharides found in nature are in the ""D""-form, however, L-arabinose is in fact more common than D-arabinose. L-arabinose is found in nature as a component of biopolymers such as hemicellulose and pectin. L-arabinose is found in all organisms from bacteria to plants to animals. Arabinose is the second most abundant pentose in lignocellulosic biomass after xylose. There are two different arabinose utilization pathways in nature: bacterial and fungal. The bacterial pathway converts arabinose into xylulose-5-P via ribulose-5-P using three enzymes (L-arabinose isomerase, L-ribulokinase, and L-ribulose-5-P 4-epimerase) after which it enters the pentose phosphate pathway for ethanol production. The fungal pathway converts arabinose into L-arabinitol by aldose reductase (AR) or XR, L-xylulose by L-arabinitol 4-dehydrogenase (LAD), xylitol by L-xylulose reductase (LXR), D-xylulose by xylulose dehydrogenase (XDH), and D-xylulose-5-P by xylulose kinase (XK), and lastly enters the nonoxidative pentose phosphate pathway for further metabolism.  Arabinose has a sweet taste and is one of the most abundant components released by complete hydrolysis of non-starch polysaccharides (NSP) of vegetable origin. Although widely present in nature, L-arabinose is rarely used in food production or food flavoring, and its physiological effects in vivo have received little attention. L-arabinose is known to selectively inhibit intestinal sucrase activity in a non-competitive manner. Sucrase is the enzyme that breaks down sucrose into glucose and fructose in the small intestine. As a result, L-arabinose suppresses plasma glucose increase due to sucrose ingestion. The presence of arabinose in urine may indicate overgrowth of intestinal yeast such as Candida albicans or other yeast/fungus species. L-arabinose is also a microbial metabolite found in, and produced by, Mycobacterium (PMID: 16232643). In a rare case of two autistic brothers that were not associated with any known metabolic disease, it was found the median value for L-arabinose in their urine samples was 179 umol/mmol creatinine, nearly six times greater than normal children (PMID: 11238761, 8931641, 1390604, 7628083). ",quantified,150.1299,150.05282343,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",SRBFZHDQGSBBOR-KLVWXMOXSA-N
42,HMDB0000661,glutaric acid,C5H8O4,"Glutaric acid is a simple five-carbon linear dicarboxylic acid. Glutaric acid is naturally produced in the body during the metabolism of some amino acids, including lysine and tryptophan. Glutaric acid may cause irritation to the skin and eyes. When present in sufficiently high levels, glutaric acid can act as an acidogen and a metabotoxin. An acidogen is an acidic compound that induces acidosis, which has multiple adverse effects on many organ systems. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of glutaric acid are associated with at least three inborn errors of metabolism, including glutaric aciduria type I, malonyl-CoA decarboxylase deficiency, and glutaric aciduria type III. Glutaric aciduria type I (glutaric acidemia type I, glutaryl-CoA dehydrogenase deficiency, GA1, or GAT1) is an inherited disorder in which the body is unable to completely break down the amino acids lysine, hydroxylysine, and tryptophan due to a deficiency of mitochondrial glutaryl-CoA dehydrogenase (EC 1.3.99.7, GCDH). Excessive levels of their intermediate breakdown products (e.g. glutaric acid, glutaryl-CoA, 3-hydroxyglutaric acid, glutaconic acid) can accumulate and cause damage to the brain (and also other organs). Babies with glutaric acidemia type I are often born with unusually large heads (macrocephaly). Macrocephaly is amongst the earliest signs of GA1. GA1 also causes secondary carnitine deficiency because glutaric acid, like other organic acids, is detoxified by carnitine. Abnormally high levels of organic acids in the blood (organic acidemia), urine (organic aciduria), the brain, and other tissues lead to general metabolic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated glutaric aciduria. Many affected children with organic acidemias experience intellectual disability or delayed development. In adults, acidosis or acidemia is characterized by headaches, confusion, feeling tired, tremors, sleepiness, and seizures. Treatment of glutaric aciduria is mainly based on the restriction of lysine intake, supplementation of carnitine, and an intensification of therapy during intercurrent illnesses. The major principle of dietary treatment is to reduce the production of glutaric acid and 3-hydroxyglutaric acid by restriction of natural protein, in general, and of lysine, in particular (PMID: 17465389, 15505398). Glutaric acid has also been found in Escherichia (PMID: 30143200).",quantified,132.1146,132.042258744,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",JFCQEDHGNNZCLN-UHFFFAOYSA-N
43,HMDB0000671,indolelactic acid,C11H11NO3,"Indolelactic acid (CAS: 1821-52-9) is a tryptophan metabolite found in human plasma, serum, and urine. Tryptophan is metabolized by two major pathways in humans, either through kynurenine or via a series of indoles, and some of its metabolites are known to be biologically active. Indolelactic acid is present in various amounts, significantly higher in umbilical fetal plasma than in maternal plasma in the protein-bound form (PMID 2361979, 1400722, 3597614, 11060358, 1400722). Indolelactic acid is also a microbial metabolite; urinary indole-3-lactate is produced by Clostridium sporogenes (PMID: 29168502).",quantified,205.2099,205.073893223,solid,"['blood', 'feces', 'urine']",XGILAAMKEQUXLS-JTQLQIEISA-N
44,HMDB0000682,indoxyl sulfate,C8H7NO4S,"Indoxyl sulfate is a dietary protein metabolite and also a metabolite of the common amino acid tryptophan. It has been identified as a uremic toxin according to the European Uremic Toxin Working Group (PMID: 22626821). It is a circulating uremic toxin stimulating glomerular sclerosis and interstitial fibrosis. Indoxyl sulfate is one of the well-known substances of a group of protein-bound uremic retention solutes. Indoxyl sulfate increases the rate of progression of renal failure. In plasma, indoxyl sulfate is a protein-bound uremic solute that induces endothelial dysfunction by inhibiting endothelial proliferation and migration in vitro. Some studies suggest that indoxyl sulfate is also involved in oxidative stress. In hemodialyzed patients, serum levels of indoxyl sulfate are associated with levels of pentosidine, a marker of carbonyl and oxidative stress. In vitro, indoxyl sulfate increases reactive oxygen species (ROS) production in tubular cells and increases NAD(P)H oxidase activity in endothelial cells. Indoxyl sulfate impairs osteoblast function and induces abnormalities of bone turnover. Indoxyl sulfate strongly decreases the levels of glutathione, one of the most active antioxidant systems of the cell (PMID: 10681668 , 14681860 , 17471003 , 17403109). Indoxyl sulfate is a microbial metabolite found in Escherichia (PMID: 19946322).",quantified,213.21,213.009578407,solid,"['blood', 'feces', 'urine']",BXFFHSIDQOFMLE-UHFFFAOYSA-N
